id1,id2,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,-3.6783,-1.8817,-0.256,0.0,0.0,1.4,3.5,4.0,0.0062,-0.0184,0.0256,-0.2097,0.6228,-0.5161
6,7,-2.9216,-2.2035,-0.40942,0.0,0.0,1.5,3.5,4.0,0.0023702,-0.0091044,0.016516,-0.070202,0.18435,-0.15019
6,8,-5.3274,-2.1902,-0.089303,0.0,0.0,1.2,3.5,4.0,0.004047,-0.010526,0.013327,-0.1511,0.45754,-0.37839
7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6,-2.9216,-2.2035,-0.40942,0.0,0.0,1.5,3.5,4.0,0.0023702,-0.0091044,0.016516,-0.070202,0.18435,-0.15019
7,7,-2.8289,-2.3769,-0.5609,0.0,0.0,1.5,3.5,4.0,0.00091429,-0.0042245,0.0092467,-0.027236,0.060024,-0.046743
7,8,-4.5326,-1.9996,-0.28628,0.0,0.0,1.2,3.5,4.0,0.0022127,-0.0073384,0.011535,-0.070107,0.19981,-0.16488
8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,-5.3274,-2.1902,-0.089303,0.0,0.0,1.2,3.5,4.0,0.004047,-0.010526,0.013327,-0.1511,0.45754,-0.37839
8,7,-4.5326,-1.9996,-0.28627,0.0,0.0,1.2,3.5,4.0,0.0022127,-0.0073384,0.011535,-0.070107,0.19981,-0.16488
8,8,-4.5265,-2.4872,-0.20146,0.0,0.0,1.2,3.5,4.0,0.0011292,-0.003855,0.0063528,-0.035933,0.10052,-0.08259
