id1,id2,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,6.6148,-0.52859,-0.95146,0.0,0.0,1.4,3.5,4.0,0.0049618,-0.022451,0.046071,-0.13455,0.30683,-0.2436
6,7,6.9546,-1.1885,-0.80804,0.0,0.0,1.5,3.5,4.0,0.0036644,-0.016199,0.032844,-0.10144,0.23685,-0.18877
6,8,8.622,-0.55714,-0.93855,0.0,0.0,1.2,3.5,4.0,0.0019375,-0.0094442,0.021199,-0.055534,0.11496,-0.088269
7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6,6.9546,-1.1885,-0.80804,0.0,0.0,1.5,3.5,4.0,0.0036644,-0.016199,0.032844,-0.10144,0.23685,-0.18877
7,7,7.1023,-1.2524,-0.5525,0.0,0.0,1.5,3.5,4.0,0.009,-0.031,0.0488,-0.2648,0.7501,-0.6213
7,8,9.2591,-0.73411,-1.0238,0.0,0.0,1.2,3.5,4.0,0.00082168,-0.0044728,0.011332,-0.026382,0.046935,-0.033729
8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,8.622,-0.55714,-0.93855,0.0,0.0,1.2,3.5,4.0,0.0019375,-0.0094442,0.021199,-0.055534,0.11496,-0.088269
8,7,9.2591,-0.73411,-1.0238,0.0,0.0,1.2,3.5,4.0,0.00082168,-0.0044728,0.011332,-0.026382,0.046935,-0.033729
8,8,9.2355,-1.1315,-0.92453,0.0,0.0,1.2,3.5,4.0,0.00055687,-0.0029984,0.0075573,-0.017932,0.03244,-0.023455
