id1,id2,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,8.1049,-0.9361,-0.62622,0.0,0.0,1.1,3.5,4.0,0.0028694,-0.011311,0.020497,-0.081068,0.21071,-0.17197
7,1,9.8379,-1.2349,-0.32428,0.0,0.0,1.0,3.5,4.0,0.0060126,-0.017174,0.022576,-0.2043,0.61483,-0.5107
8,1,9.5187,-1.3332,-0.39371,0.0,0.0,1.0,3.5,4.0,0.0030465,-0.010059,0.015407,-0.094746,0.27227,-0.22535
1,6,8.1049,-0.9361,-0.62622,0.0,0.0,1.1,3.5,4.0,0.0028694,-0.011311,0.020497,-0.081068,0.21071,-0.17197
6,6,8.5624,-0.98018,-0.64693,0.0,0.0,1.4,3.5,4.0,0.0073626,-0.027222,0.04556,-0.20905,0.57156,-0.47146
7,6,7.5018,-1.2112,-0.3739,0.0,0.0,1.5,3.5,4.0,0.0199,-0.0538,0.0654,-0.6914,2.1122,-1.7573
8,6,10.7187,-1.3895,-0.1821,0.0,0.0,1.2,3.5,4.0,0.0156,-0.0348,0.0359,-0.63,1.953,-1.6163
1,7,9.8379,-1.2349,-0.32428,0.0,0.0,1.0,3.5,4.0,0.0060126,-0.017174,0.022576,-0.2043,0.61483,-0.5107
6,7,8.6976,-1.2672,-0.1785,0.0,0.0,1.5,3.5,4.0,0.0388,-0.0769,0.0693,-1.676,5.2278,-4.3176
7,7,8.2123,-1.4991,-0.52644,0.0,0.0,1.5,3.5,4.0,0.0060724,-0.02189,0.036259,-0.17798,0.49151,-0.40524
8,7,10.309,-0.98165,-0.8285,0.0,0.0,1.2,3.5,4.0,0.0013063,-0.0062608,0.013921,-0.037771,0.079874,-0.06166
1,8,9.5187,-1.3332,-0.39371,0.0,0.0,1.0,3.5,4.0,0.0030465,-0.010059,0.015406,-0.094746,0.27227,-0.22535
6,8,14.195,-1.3716,-0.24828,0.0,0.0,1.2,3.5,4.0,0.011468,-0.028827,0.033385,-0.42588,1.3079,-1.0852
7,8,10.723,-0.45431,-0.91656,0.0,0.0,1.2,3.5,4.0,0.0027572,-0.012878,0.027545,-0.076786,0.16811,-0.13162
8,8,13.699,-1.6024,-0.11447,0.0,0.0,1.2,3.5,4.0,0.013691,-0.029148,0.02946,-0.57251,1.774,-1.4653
