id1,id2,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14
1,1,-9.4,-1.1459,-0.39178,0,0,0.75,3.5,4,0.0022116,-0.0072997,0.011181,-0.068817,0.19776,-0.16368
1,6,-9.2358,-1.3727,-0.40843,0,0,1.1,3.5,4,0.003528,-0.01176,0.018157,-0.10896,0.31201,-0.25818
1,7,-12.631,-1.5856,-0.25097,0,0,1,3.5,4,0.0039559,-0.011236,0.014965,-0.13659,0.40987,-0.3399
1,8,-12.189,-1.8001,-0.32593,0,0,1,3.5,4,0.0014484,-0.0049675,0.0080467,-0.044928,0.12624,-0.10402
6,1,-9.235799789,-1.372699976,-0.40843001,0,0,1.100000023841858,3.5,4,0.003528,-0.01176,0.018156999722123146,-0.108960003,0.3120099902153015,-0.258179992
6,6,-9.197199821,-1.606999993,-0.535059988,0,0,1.399999976158142,3.5,4,0.0032328,-0.01246,0.022283000871539116,-0.093277,0.24582000076770782,-0.200870007
6,7,-7.409699917,-1.940899968,-0.219799995,0,0,1.5,3.5,4,0.0086,-0.0241,0.032099999487400055,-0.298299998,0.8950999975204468,-0.741900027
6,8,-13.98700047,-1.932000041,-0.432009995,0,0,1.2000000476837158,3.5,4,0.0011959,-0.0046869,0.0086679,-0.035192002,0.091063,-0.073980004
7,1,-12.631,-1.5856,-0.25097,0,0,1,3.5,4,0.0039559,-0.011236,0.014965,-0.13659,0.40987,-0.3399
7,6,-7.4097,-1.9409,-0.2198,0,0,1.5,3.5,4,0.0086,-0.0241,0.0321,-0.2983,0.8951,-0.7419
7,7,-7.1658,-2.3489,-0.5419,0,0,1.5,3.5,4,0.0010433,-0.0047121,0.010076,-0.030829,0.069728,-0.05474
7,8,-9.3601,-1.2931,-0.37942,0,0,1.2,3.5,4,0.0068653,-0.02086,0.029086,-0.2231,0.66168,-0.54956
8,1,-12.18900013,-1.800099969,-0.325929999,0,0,1,3.5,4,0.0014484,-0.0049675,0.0080467,-0.044927999,0.12624000012874603,-0.10402
8,6,-13.98700047,-1.932000041,-0.432009995,0,0,1.2000000476837158,3.5,4,0.0011959,-0.0046869,0.0086679,-0.035192002,0.091063,-0.073980004
8,7,-9.360099792,-1.293099999,-0.379420012,0,0,1.2000000476837158,3.5,4,0.0068653,-0.02086,0.029085999354720116,-0.223100007,0.6616799831390381,-0.54956001
8,8,-14.38799953,-2.244299889,-1.645599961,0,0,1.2000000476837158,3.5,4,9.497300084149174e-07,-9.32E-06,4.417400123202242e-05,-0.00011733,0.0001615,-8.83E-05
