Frame,CH4,O2,CO,CO2,H2O
0,100,200,0,0,0
20,96,199,0,0,0
40,100,200,0,0,0
60,98,199,0,0,0
80,99,200,0,0,0
100,99,199,0,0,0
120,99,200,0,0,0
140,98,200,0,0,0
160,99,200,0,0,0
180,100,200,0,0,0
200,98,198,0,0,0
220,96,199,0,0,0
240,96,199,0,0,0
260,94,198,0,0,0
280,98,197,0,0,0
300,96,196,0,0,0
320,94,195,0,0,0
340,92,195,0,0,0
360,97,196,0,0,0
380,97,196,0,0,0
400,96,196,0,0,0
420,94,196,0,0,1
440,92,195,0,0,1
460,95,194,0,0,1
480,95,194,0,0,1
500,91,194,1,0,1
520,94,195,1,0,1
540,93,194,1,0,1
560,93,194,1,0,1
580,92,191,1,0,1
600,94,191,1,0,2
620,91,192,2,0,4
640,91,191,2,0,4
660,92,189,2,0,4
680,90,189,2,0,5
700,88,186,2,0,5
720,88,188,3,0,6
740,90,185,3,0,6
760,89,184,3,0,6
780,87,183,3,0,6
800,84,179,3,1,7
820,89,182,3,1,8
840,89,179,3,1,7
860,88,179,3,1,7
880,87,177,3,1,8
900,87,175,4,1,8
920,84,176,4,1,9
940,86,175,4,1,9
960,87,174,5,1,11
980,85,174,7,1,12
1000,86,171,7,1,13
1020,85,170,7,1,13
1040,85,172,7,1,13
1060,85,174,7,1,14
1080,85,172,7,1,16
1100,83,170,8,1,16
1120,82,171,8,1,16
1140,84,171,8,1,16
1160,82,168,8,1,16
1180,80,169,8,1,16
1200,83,170,8,1,16
1220,81,169,9,1,17
1240,83,168,9,1,17
1260,82,169,9,1,17
1280,81,169,9,1,18
1300,80,169,9,1,19
1320,78,168,9,2,19
1340,77,166,9,2,20
1360,80,166,9,2,20
1380,78,165,9,2,20
1400,77,164,9,2,20
1420,77,161,9,2,21
1440,77,161,10,2,21
1460,76,160,10,2,20
1480,72,160,10,3,23
1500,73,159,10,3,24
1520,76,157,10,3,24
1540,73,158,10,3,28
1560,72,156,11,3,29
1580,71,156,11,3,30
1600,70,157,11,3,30
1620,69,152,12,3,31
1640,69,153,12,3,32
1660,67,148,14,3,33
1680,67,149,15,3,35
1700,68,149,15,3,35
1720,69,150,15,3,36
1740,68,148,15,3,35
1760,67,150,15,3,36
1780,65,149,15,3,36
1800,67,150,15,3,36
1820,66,149,15,3,40
1840,66,149,16,3,40
1860,67,148,16,3,40
1880,66,147,16,3,40
1900,64,146,16,3,41
1920,65,146,16,3,41
1940,66,146,16,3,41
1960,66,143,16,3,40
1980,67,148,17,3,41
2000,66,147,18,3,42
2020,68,147,19,3,45
2040,66,145,19,3,45
2060,65,145,19,3,45
2080,66,143,19,2,44
2100,67,145,19,3,45
2120,65,143,19,3,45
2140,66,145,19,3,45
2160,64,145,20,3,46
2180,66,145,20,3,46
2200,62,145,20,3,44
2220,65,145,20,3,46
2240,63,145,20,3,46
2260,64,144,20,3,47
2280,64,140,20,3,47
2300,64,138,20,3,47
2320,63,139,20,3,47
2340,62,139,21,3,48
2360,64,136,22,3,49
2380,61,138,22,3,50
2400,61,136,23,3,49
2420,59,138,23,3,51
2440,62,132,24,3,52
2460,59,136,24,3,55
2480,56,130,25,3,58
2500,56,129,25,3,60
2520,55,130,26,3,61
2540,55,128,25,4,61
2560,55,127,25,4,61
2580,55,126,26,4,62
2600,55,122,26,4,63
2620,54,126,26,4,64
2640,54,125,26,4,64
2660,53,127,27,4,65
2680,54,125,26,5,65
2700,52,124,26,5,64
2720,52,123,26,5,64
2740,53,121,28,5,65
2760,53,123,28,5,66
2780,52,124,29,5,68
2800,50,123,30,5,70
2820,48,122,30,5,71
2840,47,121,30,5,73
2860,47,121,30,5,73
2880,47,121,30,5,74
2900,46,120,31,5,74
2920,48,117,31,5,73
2940,48,116,32,5,73
2960,46,116,32,5,76
2980,47,118,33,5,77
3000,45,116,33,5,77
3020,45,111,33,6,77
3040,44,112,34,6,82
3060,42,109,36,6,84
3080,43,108,37,7,85
3100,43,109,38,7,85
3120,43,107,38,7,82
3140,42,107,38,7,86
3160,42,109,38,7,86
3180,42,109,38,7,86
3200,40,109,38,7,86
3220,40,109,37,7,85
3240,43,107,38,7,86
3260,41,107,38,7,88
3280,40,106,38,7,88
3300,41,108,38,7,89
3320,40,105,39,7,90
3340,38,105,39,7,90
3360,37,103,39,7,91
3380,38,103,38,8,90
3400,39,103,38,8,88
3420,39,101,38,8,90
3440,37,105,39,8,92
3460,37,103,40,8,93
3480,36,105,40,8,95
3500,36,104,39,8,97
3520,35,104,40,8,98
3540,33,100,40,8,98
3560,32,102,40,7,98
3580,34,102,40,8,100
3600,33,101,39,9,100
3620,33,102,39,9,101
3640,32,104,39,9,101
3660,32,101,39,9,101
3680,32,101,39,9,99
3700,34,105,39,10,101
3720,34,100,39,11,101
3740,30,99,39,11,101
3760,30,99,39,11,103
3780,30,98,40,11,105
3800,30,97,40,11,106
3820,29,93,41,11,106
3840,29,93,41,11,107
3860,28,91,41,11,106
3880,28,93,41,11,108
3900,28,91,42,11,107
3920,28,92,42,11,107
3940,27,89,42,11,108
3960,25,89,42,11,111
3980,25,91,43,11,112
