# r  g_O-La
2.020000000000000018e+00 0.000000000000000000e+00
2.060000000000000053e+00 0.000000000000000000e+00
2.100000000000000089e+00 0.000000000000000000e+00
2.140000000000000124e+00 0.000000000000000000e+00
2.180000000000000160e+00 0.000000000000000000e+00
2.220000000000000195e+00 0.000000000000000000e+00
2.260000000000000231e+00 0.000000000000000000e+00
2.300000000000000266e+00 0.000000000000000000e+00
2.339999999999999858e+00 3.319332979929050520e-01
2.379999999999999893e+00 2.015062949882023613e+00
2.419999999999999929e+00 6.753227533915951319e+00
2.459999999999999964e+00 1.489686920388297509e+01
2.500000000000000000e+00 1.923974560285229174e+01
2.540000000000000036e+00 1.710599990347557409e+01
2.580000000000000071e+00 1.258222566912300877e+01
2.620000000000000107e+00 7.000733468094058942e+00
2.660000000000000142e+00 3.781198386195767647e+00
2.700000000000000178e+00 1.635541163101543960e+00
2.740000000000000213e+00 6.100772259460643943e-01
2.780000000000000249e+00 1.316994779846913655e-01
2.820000000000000284e+00 0.000000000000000000e+00
2.859999999999999876e+00 0.000000000000000000e+00
2.899999999999999911e+00 0.000000000000000000e+00
2.939999999999999947e+00 0.000000000000000000e+00
2.979999999999999982e+00 0.000000000000000000e+00
3.020000000000000018e+00 0.000000000000000000e+00
3.060000000000000053e+00 0.000000000000000000e+00
3.100000000000000089e+00 0.000000000000000000e+00
3.140000000000000124e+00 0.000000000000000000e+00
3.180000000000000160e+00 0.000000000000000000e+00
3.220000000000000195e+00 0.000000000000000000e+00
3.260000000000000231e+00 0.000000000000000000e+00
3.300000000000000266e+00 0.000000000000000000e+00
3.340000000000000302e+00 0.000000000000000000e+00
3.379999999999999893e+00 8.272904013148027480e-02
3.419999999999999929e+00 1.616103933843816842e-01
3.459999999999999964e+00 3.218636540047887240e-01
3.500000000000000000e+00 2.848744659039065819e-01
3.540000000000000036e+00 3.712974199456289259e-01
3.580000000000000071e+00 8.735811447812356079e-01
3.620000000000000107e+00 8.488344032973039743e-01
3.660000000000000142e+00 7.598268644647702130e-01
3.700000000000000178e+00 6.585171796971447389e-01
3.740000000000000213e+00 7.744475790650510172e-01
3.780000000000000249e+00 1.236436233705108245e+00
3.820000000000000284e+00 1.400002232240893152e+00
3.859999999999999876e+00 1.859086435849079511e+00
3.899999999999999911e+00 1.849826710587127110e+00
3.939999999999999947e+00 1.821824464660506404e+00
3.979999999999999982e+00 1.670646965502178505e+00
