id1,id2,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,8.104851,-0.936099,-0.626219,0.0,0.0,1.1,3.5,4.0,0.002869380747251368,-0.011310956010503678,0.020496751911735087,-0.08106802699843169,0.21071121760891393,-0.17196923026196678
1,7,9.837852,-1.23485,-0.324283,0.0,0.0,1.0,3.5,4.0,0.006012625623783277,-0.01717365212731534,0.02257645847155586,-0.20430114967642915,0.6148339152184751,-0.5107004854276997
1,8,9.518733,-1.333235,-0.39371,0.0,0.0,1.0,3.5,4.0,0.003046460055393868,-0.01005875611399864,0.015406503239520383,-0.09474567713266432,0.2722680608728598,-0.2253520630798509
6,1,8.104851,-0.936099,-0.626219,0.0,0.0,1.1,3.5,4.0,0.002869380747251368,-0.011310956010503678,0.020496751911735087,-0.08106802699843169,0.21071121760891393,-0.17196923026196678
6,6,8.562436,-0.980182,-0.646929,0.0,0.0,1.4,3.5,4.0,0.007362622513051934,-0.027221704943022205,0.04556009032736179,-0.20904942437579255,0.5715613707073846,-0.4714624078597998
6,7,8.697591,-1.26724,-0.178484,0.0,0.0,1.5,3.5,4.0,0.03883567484595072,-0.07694030694860127,0.06928459819039635,-1.6759942100520053,5.227797496602448,-4.317591622412848
6,8,14.194791,-1.37165,-0.248285,0.0,0.0,1.2,3.5,4.0,0.011467679828930365,-0.02882700631445182,0.03338484922368538,-0.4258753301096977,1.3079329455025954,-1.0851770178504256
7,1,9.837852,-1.23485,-0.324283,0.0,0.0,1.0,3.5,4.0,0.006012625623783277,-0.01717365212731534,0.02257645847155586,-0.20430114967642915,0.6148339152184751,-0.5107004854276997
7,6,7.501761,-1.211169,-0.373905,0.0,0.0,1.5,3.5,4.0,0.01988165165435066,-0.053815435999828166,0.06539966613544944,-0.6913596651648733,2.1122044866805485,-1.7573335187271697
7,7,8.212268,-1.499123,-0.52644,0.0,0.0,1.5,3.5,4.0,0.0060723718539186875,-0.02189019006586996,0.036259047578834795,-0.17797947220562466,0.49150565167082505,-0.4052386534213084
7,8,10.723048,-0.454312,-0.916563,0.0,0.0,1.2,3.5,4.0,0.0027572103035454544,-0.012877555685687589,0.02754516655735352,-0.07678648717125533,0.16810890765514558,-0.1316230378265511
8,1,9.518733,-1.333235,-0.39371,0.0,0.0,1.0,3.5,4.0,0.003046460055393868,-0.01005875611399864,0.015406503239520383,-0.09474567713266432,0.2722680608728598,-0.2253520630798509
8,6,10.718738,-1.389459,-0.182128,0.0,0.0,1.2,3.5,4.0,0.015619848714325368,-0.034789273685314,0.0358973548329641,-0.630029457696278,1.9530184335735614,-1.6163046549191116
8,7,10.309052,-0.981652,-0.828497,0.0,0.0,1.2,3.5,4.0,0.0013063102355168556,-0.006260802966812631,0.013920920659663109,-0.03777107159582398,0.07987411456399429,-0.06166038808953487
28,28,0.0001,-8.1033,8.9585,-1.3073,-7.1428,1.5000,0.6380,3.9676,37627.5478,-307055.5217,518813.2705,-311464.1400,78437.0421,-7111.5836
6,28,-3.9597,-4.5857,-15.8447,-49.4861,-53.6448,0.9000,1.0000,4.5000,0.5108,-4.8286,5.5050,-2.4727,0.4983,-0.0377
28,6,4.3304,2.4246,4.4840,-28.6982,-40.1521,0.9000,1.0000,4.5000,1.2899,2.9666,-5.0177,2.5470,-0.5464,0.0430
